ChildPoverty,MedianIncome,Obama2008,GOP2party2010,GOPwin2010,WhitePct,Ideology
0.25999999,40414,0.31,1,1,0.70999998,0.68199998
0.2,56441,0.40000001,1,1,0.63999999,0.671
0.15000001,67359,0.41999999,0.67900002,1,0.63,0.764
0.19,50725,0.30000001,0.76899999,1,0.79000002,0.63599998
0.2,46948,0.36000001,0.71899998,1,0.72000003,0.87900001
0.20999999,52007,0.40000001,0.67900002,1,0.66000003,0.70200002
0.12,69880,0.41,1,1,0.67000002,0.583
0.19,51074,0.25999999,0.82300001,1,0.80000001,0.745
0.31999999,34934,0.76999998,0.23199999,0,0.17,-0.38299999
0.15000001,61927,0.44,0.662,1,0.66000003,0.62
0.22,43974,0.23999999,0.83999997,1,0.64999998,0.70999998
0.2,52246,0.36000001,0.741,1,0.67000002,0.61799997
0.19,40550,0.23,1,1,0.74000001,0.74900001
0.16,52563,0.33000001,0.75999999,1,0.62,1.293
0.44999999,31952,0.60000002,0.42699999,0,0.2,-0.32300001
0.31999999,35027,0.66000003,0.38600001,0,0.17,-0.32100001
0.23,42936,0.31999999,0.62800002,1,0.70999998,0.69099998
0.38999999,34268,0.76999998,0.28,0,0.2,-0.46799999
0.20999999,39296,0.27000001,0.80299997,1,0.63,0.80299997
0.37,35616,0.63,0.35100001,0,0.23,-0.30399999
0.11,59432,0.41,0.71200001,1,0.68000001,0.60399997
0.14,70568,0.41,0.69400001,1,0.61000001,0.66799998
0.25,41326,0.50999999,0.52600002,1,0.30000001,0.634
0.14,57552,0.44,1,1,0.63999999,0.713
0.25999999,47004,0.58999997,0.45899999,0,0.52999997,-0.43399999
0.19,61387,0.41,0.68599999,1,0.66000003,0.86500001
0.37,35721,0.52999997,0.50400001,1,0.28,0.68599999
0.38999999,36106,0.56,0.42699999,0,0.2,-0.192
0.34999999,36908,0.62,0.345,0,0.22,-0.322
0.41999999,36727,0.81999999,0.222,0,0.22,-0.45699999
0.15000001,54977,0.41999999,1,1,0.66000003,0.53600001
0.25,50008,0.46000001,0.64200002,1,0.5,0.79799998
0.12,54988,0.33000001,0.74299997,1,0.82999998,0.745
0.12,54479,0.38999999,0.477,0,0.88,-0.085000001
0.12,55827,0.28999999,0.759,1,0.85000002,0.963
0.13,49907,0.68000001,0.331,0,0.95999998,-0.47400001
0.1,65395,0.47999999,0.64700001,1,0.75,0.58499998
0.12,56318,0.50999999,0.55500001,1,0.67000002,0.73100001
0.30000001,40817,0.75999999,0.28,0,0.38,-0.417
0.14,56813,0.5,0.62400001,1,0.62,0.58700001
0.22,41367,0.47999999,0.51899999,1,0.72000003,0.78799999
0.18000001,44950,0.41999999,1,1,0.85000002,0.75199997
0.090000004,64205,0.46000001,0.63499999,1,0.77999997,0.76099998
0.12,90662,0.69,0.37900001,0,0.56999999,-0.33700001
0.23999999,35081,0.40000001,0.52499998,1,0.93000001,0.85699999
0.059999999,93701,0.52999997,0.64399999,1,0.76999998,0.509
0.059999999,103664,0.56999999,0.498,0,0.67000002,-0.27000001
0.1,71469,0.62,0.42300001,0,0.81999999,-0.38
NA,NA,NA,NA,NA,NA,-0.28099999
0.13,54910,0.56,0.48899999,0,0.86000001,-0.329
0.18000001,52726,0.51999998,0.52999997,1,0.88,0.722
0.25999999,44541,0.40000001,0.676,1,0.68000001,0.588
0.19,44147,0.46000001,0.63700002,1,0.88,0.59799999
0.20999999,46614,0.56999999,0.419,0,0.77999997,-0.289
0.11,57743,0.83999997,0,0,0.67000002,-0.722
0.079999998,80445,0.56999999,0.51999998,1,0.81999999,0.47999999
0.19,54255,0.58999997,0.45199999,0,0.73000002,-0.25299999
